Order ID,Order Date,Customer ID,Customer Name,Age,Gender,Region,Customer Segment,Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Method
ORD-100022,2023-05-14 16:00:00,CUST-1619,Customer 776,45,Female,East,Home Office,Home & Kitchen,Blender,4,64.82,0.0,259.28,76.19,Net Banking
ORD-100023,2024-11-07 13:00:00,CUST-1108,Customer 826,42,Male,Central,Home Office,Office Supplies,Stapler,2,11.21,0.0,22.42,3.73,Net Banking
ORD-100024,2024-07-24 19:00:00,CUST-1137,Customer 208,46,Male,West,Corporate,Office Supplies,Notebook,3,4.33,0.15,11.04,2.98,Credit Card
ORD-100025,2024-04-15 09:00:00,CUST-1026,Customer 7,61,Male,West,Home Office,Office Supplies,Notebook,5,3.61,0.0,18.05,4.16,Cash
ORD-100026,2023-10-21 11:00:00,CUST-1680,Customer 606,18,Male,Central,Consumer,Furniture,Office Chair,5,153.97,0.0,769.85,236.86,Credit Card
ORD-100027,2024-08-23 09:00:00,CUST-1747,Customer 362,23,Male,East,Home Office,Furniture,Office Chair,3,119.56,0.0,358.68,103.84,UPI
ORD-100028,2024-02-03 17:00:00,CUST-1375,Customer 417,42,Male,Central,Corporate,Office Supplies,Pen Set,1,8.64,0.05,8.21,1.29,UPI
ORD-100029,2023-11-20 11:00:00,CUST-1693,Customer 661,48,Male,South,Corporate,Electronics,Tablet,5,308.42,0.0,1542.1,185.6,UPI
ORD-100030,2023-11-25 12:00:00,CUST-1475,Customer 890,27,Female,East,Corporate,Electronics,Tablet,5,310.46,0.0,1552.3,462.69,Net Banking
ORD-100031,2023-06-15 18:00:00,CUST-1786,Customer 160,49,Male,East,Home Office,Home & Kitchen,Blender,2,57.51,0.05,109.27,9.71,Credit Card
ORD-100032,2023-03-09 12:00:00,CUST-1086,Customer 548,19,Male,East,Home Office,Electronics,Tablet,5,333.67,0.1,1501.52,395.41,Credit Card
ORD-100033,2024-02-09 09:00:00,CUST-1539,Customer 29,30,Male,West,Consumer,Office Supplies,Printer Paper,4,18.27,0.0,73.08,15.24,UPI
ORD-100034,2024-10-10 08:00:00,CUST-1579,Customer 451,41,Male,Central,Consumer,Office Supplies,Stapler,4,11.5,0.1,41.4,4.15,Credit Card
ORD-100035,2023-02-16 10:00:00,CUST-1516,Customer 33,20,Female,South,Consumer,Electronics,Smartwatch,1,224.91,0.05,213.66,56.81,UPI
ORD-100036,2024-09-18 19:00:00,CUST-1395,Customer 734,50,Female,West,Corporate,Home & Kitchen,Cookware Set,3,114.21,0.0,342.63,72.08,Cash
ORD-100037,2024-08-27 15:00:00,CUST-1166,Customer 508,45,Female,East,Consumer,Electronics,Smartphone,3,644.62,0.0,1933.86,603.8,UPI
ORD-100038,2023-07-22 20:00:00,CUST-1135,Customer 231,47,Female,East,Corporate,Home & Kitchen,Cookware Set,6,137.88,0.0,827.28,112.78,Cash
ORD-100039,2024-04-06 10:00:00,CUST-1513,Customer 208,44,Other,West,Consumer,Clothing,Sneakers,6,92.01,0.0,552.06,44.51,Credit Card
ORD-100040,2023-05-01 12:00:00,CUST-1463,Customer 589,53,Female,West,Home Office,Electronics,Smartwatch,7,182.96,0.15,1088.61,125.44,Credit Card
ORD-100041,2024-07-07 10:00:00,CUST-1390,Customer 232,51,Male,South,Home Office,Electronics,Laptop,4,886.85,0.0,3547.4,542.02,Net Banking
ORD-100042,2024-05-26 13:00:00,CUST-1031,Customer 347,52,Male,East,Consumer,Furniture,Lamp,3,30.77,0.2,73.85,18.91,UPI
ORD-100043,2023-09-16 15:00:00,CUST-1301,Customer 14,29,Female,Central,Consumer,Furniture,Desk,4,229.02,0.0,916.08,162.98,UPI
ORD-100044,2023-02-19 18:00:00,CUST-1694,Customer 314,53,Female,West,Home Office,Electronics,Tablet,6,340.34,0.0,2042.04,228.56,Credit Card
ORD-100045,2024-12-09 12:00:00,CUST-1545,Customer 653,27,Female,South,Consumer,Home & Kitchen,Coffee Maker,5,78.07,0.05,370.83,127.95,UPI
ORD-100046,2023-11-22 18:00:00,CUST-1607,Customer 52,19,Male,South,Corporate,Electronics,Laptop,5,974.75,0.1,4386.38,479.09,Credit Card
ORD-100047,2024-10-13 16:00:00,CUST-1067,Customer 759,68,Other,South,Home Office,Clothing,Hoodie,4,36.79,0.0,147.16,25.88,Cash
ORD-100048,2024-05-09 11:00:00,CUST-1362,Customer 243,27,Female,West,Corporate,Electronics,Headphones,5,70.28,0.0,351.4,111.28,Credit Card
ORD-100049,2024-07-22 19:00:00,CUST-1403,Customer 660,23,Female,West,Home Office,Home & Kitchen,Coffee Maker,7,69.07,0.05,459.32,117.68,Credit Card
ORD-100050,2024-07-08 13:00:00,CUST-1622,Customer 126,33,Female,East,Consumer,Electronics,Laptop,5,881.41,0.0,4407.05,733.09,Credit Card
ORD-100051,2023-05-23 09:00:00,CUST-1606,Customer 123,69,Male,East,Corporate,Furniture,Office Chair,3,137.46,0.05,391.76,133.98,Credit Card
ORD-100052,2023-09-23 20:00:00,CUST-1077,Customer 782,62,Male,Central,Home Office,Office Supplies,Notebook,6,4.28,0.1,23.11,4.98,Net Banking
ORD-100053,2023-12-07 19:00:00,CUST-1663,Customer 861,55,Male,South,Corporate,Electronics,Tablet,7,349.17,0.0,2444.19,200.89,UPI
ORD-100054,2023-12-30 08:00:00,CUST-1032,Customer 241,27,Male,Central,Home Office,Clothing,T-Shirt,6,21.2,0.1,114.48,9.35,UPI
ORD-100055,2023-02-01 19:00:00,CUST-1392,Customer 865,50,Female,West,Home Office,Electronics,Laptop,7,844.29,0.0,5910.03,1974.38,Credit Card
ORD-100056,2024-02-03 20:00:00,CUST-1198,Customer 735,61,Male,East,Consumer,Office Supplies,Binder,2,5.27,0.15,8.96,1.4,UPI
ORD-100057,2023-04-23 18:00:00,CUST-1282,Customer 233,35,Male,Central,Consumer,Office Supplies,Binder,3,5.73,0.2,13.75,4.11,Credit Card
ORD-100058,2024-06-26 11:00:00,CUST-1341,Customer 724,31,Male,East,Corporate,Office Supplies,Pen Set,2,8.5,0.05,16.15,1.48,UPI
ORD-100059,2024-05-13 16:00:00,CUST-1457,Customer 884,63,Female,East,Home Office,Electronics,Smartwatch,3,178.53,0.2,428.47,51.27,Net Banking
ORD-100060,2024-11-04 14:00:00,CUST-1026,Customer 272,24,Male,East,Corporate,Electronics,Headphones,6,75.53,0.1,407.86,126.98,Credit Card
ORD-100061,2024-06-27 16:00:00,CUST-1102,Customer 400,65,Male,South,Consumer,Electronics,Headphones,5,77.51,0.0,387.55,135.02,Cash
ORD-100062,2023-09-25 16:00:00,CUST-1551,Customer 260,42,Female,West,Corporate,Furniture,Desk,1,244.45,0.0,244.45,22.98,Net Banking
ORD-100063,2024-12-07 16:00:00,CUST-1073,Customer 38,55,Male,South,Corporate,Electronics,Smartwatch,6,224.02,0.0,1344.12,168.37,Net Banking
ORD-100064,2023-10-27 14:00:00,CUST-1195,Customer 841,37,Female,West,Consumer,Home & Kitchen,Storage Box,2,15.56,0.05,29.56,8.13,UPI
ORD-100065,2023-08-26 16:00:00,CUST-1655,Customer 518,54,Male,Central,Corporate,Office Supplies,Printer Paper,2,16.53,0.05,31.41,7.0,Net Banking
ORD-100066,2024-10-23 14:00:00,CUST-1169,Customer 164,66,Female,South,Home Office,Office Supplies,Binder,4,5.98,0.05,22.72,4.31,Credit Card
ORD-100067,2023-09-28 08:00:00,CUST-1101,Customer 474,43,Female,South,Corporate,Furniture,Office Chair,2,136.24,0.05,258.86,34.3,UPI
ORD-100068,2023-02-25 08:00:00,CUST-1383,Customer 702,29,Male,East,Consumer,Electronics,Smartwatch,7,227.34,0.0,1591.38,533.54,UPI
ORD-100069,2023-12-09 20:00:00,CUST-1333,Customer 772,22,Female,East,Consumer,Office Supplies,Binder,2,6.07,0.0,12.14,1.54,Credit Card
ORD-100070,2024-08-03 19:00:00,CUST-1100,Customer 702,66,Male,East,Consumer,Furniture,Bookshelf,2,97.9,0.0,195.8,29.69,Credit Card
ORD-100071,2023-05-19 15:00:00,CUST-1329,Customer 320,69,Male,West,Corporate,Furniture,Lamp,6,40.94,0.2,196.51,32.93,Credit Card
ORD-100072,2023-12-04 10:00:00,CUST-1678,Customer 831,51,Female,East,Home Office,Furniture,Desk,3,235.44,0.0,706.32,82.93,Credit Card
ORD-100073,2023-04-05 18:00:00,CUST-1786,Customer 690,18,Female,Central,Corporate,Office Supplies,Binder,6,5.62,0.0,33.72,7.58,UPI
ORD-100074,2024-05-16 09:00:00,CUST-1052,Customer 402,64,Male,West,Home Office,Home & Kitchen,Storage Box,5,17.0,0.0,85.0,14.63,Cash
ORD-100075,2023-12-14 12:00:00,CUST-1564,Customer 708,43,Female,South,Corporate,Electronics,Smartwatch,2,188.22,0.2,301.15,73.52,UPI
ORD-100076,2023-08-30 12:00:00,CUST-1550,Customer 893,30,Male,South,Consumer,Office Supplies,Printer Paper,5,17.96,0.0,89.8,16.1,UPI
ORD-100077,2023-06-15 08:00:00,CUST-1613,Customer 32,37,Male,Central,Corporate,Electronics,Headphones,4,95.42,0.05,362.6,40.41,UPI
ORD-100078,2024-02-17 18:00:00,CUST-1614,Customer 548,66,Male,Central,Corporate,Furniture,Desk,1,208.45,0.0,208.45,65.79,Credit Card
ORD-100079,2024-05-03 14:00:00,CUST-1535,Customer 606,58,Female,East,Consumer,Clothing,Jacket,6,76.06,0.0,456.36,99.31,Credit Card
ORD-100080,2024-11-17 12:00:00,CUST-1696,Customer 785,49,Female,East,Consumer,Electronics,Tablet,7,308.02,0.1,1940.53,323.87,Credit Card
ORD-100081,2023-11-16 14:00:00,CUST-1218,Customer 432,56,Female,West,Corporate,Office Supplies,Notebook,7,3.65,0.05,24.27,2.05,Net Banking
ORD-100082,2023-04-28 08:00:00,CUST-1102,Customer 309,62,Female,South,Consumer,Furniture,Desk,1,233.47,0.05,221.8,53.55,Net Banking
ORD-100083,2024-08-30 13:00:00,CUST-1288,Customer 182,50,Female,East,Consumer,Electronics,Headphones,2,89.03,0.0,178.06,51.86,UPI
ORD-100084,2024-04-04 14:00:00,CUST-1156,Customer 372,34,Male,West,Consumer,Home & Kitchen,Coffee Maker,6,75.09,0.2,360.43,92.1,Credit Card
ORD-100085,2024-05-26 12:00:00,CUST-1146,Customer 375,21,Male,Central,Home Office,Furniture,Sofa,3,463.32,0.05,1320.46,386.48,Net Banking
ORD-100086,2023-03-12 18:00:00,CUST-1035,Customer 747,24,Female,West,Consumer,Clothing,Jeans,5,39.19,0.2,156.76,19.1,Credit Card
ORD-100087,2023-08-17 11:00:00,CUST-1433,Customer 771,30,Male,South,Corporate,Furniture,Sofa,3,487.0,0.0,1461.0,500.19,Credit Card
ORD-100088,2024-07-14 09:00:00,CUST-1659,Customer 455,57,Male,South,Consumer,Home & Kitchen,Blender,2,56.46,0.0,112.92,15.48,UPI
ORD-100089,2024-08-30 14:00:00,CUST-1062,Customer 621,22,Male,East,Consumer,Furniture,Desk,5,246.34,0.0,1231.7,187.26,UPI
ORD-100090,2023-11-14 19:00:00,CUST-1528,Customer 661,24,Male,Central,Consumer,Furniture,Sofa,2,515.57,0.1,928.03,202.62,Net Banking
ORD-100091,2024-08-10 12:00:00,CUST-1723,Customer 564,68,Female,East,Consumer,Clothing,Jacket,1,86.62,0.1,77.96,6.35,Cash
ORD-100092,2024-09-06 08:00:00,CUST-1383,Customer 675,38,Female,West,Consumer,Furniture,Sofa,4,539.54,0.05,2050.25,408.95,Net Banking
ORD-100093,2023-10-10 20:00:00,CUST-1157,Customer 74,24,Female,South,Consumer,Furniture,Sofa,2,469.47,0.0,938.94,124.73,UPI
ORD-100094,2024-10-17 13:00:00,CUST-1538,Customer 416,63,Female,East,Corporate,Home & Kitchen,Coffee Maker,2,74.99,0.0,149.98,42.33,Net Banking
ORD-100095,2023-07-30 10:00:00,CUST-1170,Customer 600,68,Female,South,Consumer,Office Supplies,Stapler,6,13.34,0.0,80.04,22.78,UPI
ORD-100096,2023-06-24 16:00:00,CUST-1103,Customer 466,44,Male,South,Consumer,Clothing,Hoodie,4,47.4,0.1,170.64,42.02,UPI
ORD-100097,2024-05-13 12:00:00,CUST-1387,Customer 682,23,Female,Central,Consumer,Office Supplies,Binder,4,5.99,0.0,23.96,4.64,UPI
ORD-100098,2024-04-09 20:00:00,CUST-1011,Customer 285,50,Male,West,Home Office,Clothing,T-Shirt,2,19.38,0.0,38.76,6.35,Net Banking
ORD-100099,2023-04-13 11:00:00,CUST-1255,Customer 855,62,Female,East,Consumer,Home & Kitchen,Towel Pack,2,21.72,0.0,43.44,13.18,Credit Card
ORD-100100,2024-08-30 15:00:00,CUST-1627,Customer 112,68,Female,West,Corporate,Office Supplies,Stapler,3,13.3,0.0,39.9,8.65,UPI
ORD-100101,2023-05-26 15:00:00,CUST-1133,Customer 718,47,Male,East,Corporate,Furniture,Office Chair,3,163.69,0.2,392.86,84.09,Credit Card
ORD-100102,2024-08-10 11:00:00,CUST-1412,Customer 653,67,Female,East,Consumer,Electronics,Smartwatch,4,222.63,0.0,890.52,98.52,UPI
ORD-100103,2023-01-06 14:00:00,CUST-1788,Customer 72,61,Female,East,Consumer,Office Supplies,Notebook,1,3.62,0.15,3.08,0.43,UPI
ORD-100104,2024-08-04 09:00:00,CUST-1174,Customer 221,26,Other,Central,Corporate,Clothing,Jeans,7,41.46,0.05,275.71,48.89,Credit Card
ORD-100105,2024-07-28 16:00:00,CUST-1223,Customer 849,50,Male,East,Home Office,Furniture,Sofa,3,534.83,0.05,1524.27,409.56,UPI
ORD-100106,2024-07-23 17:00:00,CUST-1561,Customer 614,52,Male,West,Home Office,Electronics,Tablet,6,364.09,0.05,2075.31,639.66,UPI
ORD-100107,2024-04-30 20:00:00,CUST-1591,Customer 712,57,Female,Central,Consumer,Furniture,Bookshelf,3,105.01,0.05,299.28,104.17,Credit Card
ORD-100108,2023-12-11 12:00:00,CUST-1389,Customer 760,45,Male,East,Consumer,Office Supplies,Binder,4,5.76,0.05,21.89,4.28,UPI
ORD-100109,2024-05-29 11:00:00,CUST-1580,Customer 4,56,Male,West,Consumer,Clothing,Hoodie,1,45.87,0.0,45.87,9.28,Credit Card
ORD-100110,2023-07-22 15:00:00,CUST-1504,Customer 765,48,Female,East,Consumer,Electronics,Headphones,5,87.15,0.15,370.39,106.24,Cash
ORD-100111,2024-07-23 17:00:00,CUST-1195,Customer 641,31,Female,East,Home Office,Office Supplies,Notebook,1,3.67,0.0,3.67,0.61,Net Banking
ORD-100112,2024-02-10 20:00:00,CUST-1658,Customer 220,43,Male,East,Consumer,Clothing,Sneakers,6,76.01,0.0,456.06,103.04,Credit Card
ORD-100113,2023-12-02 08:00:00,CUST-1222,Customer 274,66,Male,East,Consumer,Home & Kitchen,Blender,7,60.28,0.0,421.96,110.89,Credit Card
ORD-100114,2024-01-05 11:00:00,CUST-1541,Customer 355,61,Male,West,Consumer,Electronics,Tablet,3,307.86,0.05,877.4,126.16,Credit Card
ORD-100115,2024-02-20 11:00:00,CUST-1427,Customer 544,51,Male,East,Home Office,Home & Kitchen,Coffee Maker,7,78.96,0.0,552.72,85.94,Cash
ORD-100116,2023-01-28 11:00:00,CUST-1428,Customer 242,34,Male,West,Consumer,Office Supplies,Printer Paper,5,18.81,0.0,94.05,16.57,Credit Card
ORD-100117,2023-04-13 14:00:00,CUST-1688,Customer 255,28,Male,Central,Consumer,Clothing,Sneakers,1,86.44,0.0,86.44,20.4,UPI
ORD-100118,2023-06-29 19:00:00,CUST-1725,Customer 487,32,Female,Central,Consumer,Electronics,Headphones,2,75.71,0.0,151.42,23.17,Credit Card
ORD-100119,2023-03-25 08:00:00,CUST-1591,Customer 657,33,Female,West,Consumer,Office Supplies,Binder,5,7.17,0.0,35.85,4.88,Cash
ORD-100120,2023-11-17 18:00:00,CUST-1477,Customer 387,68,Male,South,Consumer,Office Supplies,Printer Paper,5,19.85,0.15,84.36,10.15,UPI
ORD-100121,2024-05-02 16:00:00,CUST-1242,Customer 168,45,Male,Central,Home Office,Furniture,Lamp,1,39.28,0.0,39.28,11.73,UPI
ORD-100122,2024-04-22 15:00:00,CUST-1576,Customer 101,38,Male,Central,Corporate,Furniture,Office Chair,5,156.67,0.2,626.68,200.04,UPI
ORD-100123,2023-12-10 16:00:00,CUST-1034,Customer 751,63,Male,West,Corporate,Office Supplies,Stapler,6,12.65,0.05,72.1,23.38,Cash
ORD-100124,2024-09-16 09:00:00,CUST-1081,Customer 440,37,Female,East,Consumer,Office Supplies,Binder,1,7.07,0.1,6.36,1.92,UPI
ORD-100125,2024-02-17 17:00:00,CUST-1485,Customer 66,59,Male,West,Consumer,Electronics,Tablet,7,358.47,0.15,2132.9,249.69,UPI
ORD-100126,2023-02-27 11:00:00,CUST-1218,Customer 336,51,Female,West,Corporate,Furniture,Bookshelf,4,92.88,0.0,371.52,39.53,Credit Card
ORD-100127,2024-07-12 14:00:00,CUST-1380,Customer 22,33,Female,South,Consumer,Electronics,Laptop,5,803.93,0.05,3818.67,820.15,Credit Card
ORD-100128,2024-02-24 16:00:00,CUST-1753,Customer 181,67,Female,South,Corporate,Home & Kitchen,Coffee Maker,1,66.4,0.0,66.4,14.66,Credit Card
ORD-100129,2024-04-08 15:00:00,CUST-1275,Customer 119,53,Female,East,Corporate,Home & Kitchen,Cookware Set,5,132.95,0.0,664.75,184.71,UPI
ORD-100130,2024-02-17 12:00:00,CUST-1337,Customer 835,69,Female,South,Consumer,Furniture,Sofa,4,464.24,0.0,1856.96,260.3,UPI
ORD-100131,2024-02-09 13:00:00,CUST-1516,Customer 346,18,Female,Central,Consumer,Electronics,Tablet,3,375.72,0.05,1070.8,354.82,Net Banking
ORD-100132,2023-03-08 14:00:00,CUST-1589,Customer 156,32,Male,Central,Home Office,Electronics,Laptop,6,1005.93,0.1,5432.02,889.12,Credit Card
ORD-100133,2024-02-13 08:00:00,CUST-1761,Customer 591,35,Female,South,Home Office,Office Supplies,Pen Set,2,8.03,0.0,16.06,3.79,UPI
ORD-100134,2024-08-03 17:00:00,CUST-1254,Customer 895,53,Male,West,Consumer,Home & Kitchen,Coffee Maker,1,61.88,0.1,55.69,17.45,Cash
ORD-100135,2023-08-10 09:00:00,CUST-1722,Customer 433,61,Male,West,Consumer,Office Supplies,Binder,4,6.5,0.0,26.0,5.75,Credit Card
ORD-100136,2024-03-16 13:00:00,CUST-1176,Customer 165,24,Female,South,Corporate,Electronics,Laptop,6,725.33,0.0,4351.98,1233.61,UPI
ORD-100137,2023-01-23 16:00:00,CUST-1532,Customer 428,25,Female,East,Corporate,Electronics,Smartphone,1,697.78,0.0,697.78,196.94,UPI
ORD-100138,2023-09-11 09:00:00,CUST-1063,Customer 561,53,Male,Central,Consumer,Electronics,Smartphone,7,641.07,0.05,4263.12,1250.4,Credit Card
ORD-100139,2023-11-15 20:00:00,CUST-1767,Customer 779,36,Female,South,Home Office,Clothing,T-Shirt,5,18.39,0.05,87.35,26.12,Credit Card
ORD-100140,2024-12-18 12:00:00,CUST-1631,Customer 126,54,Male,South,Home Office,Office Supplies,Printer Paper,7,18.89,0.0,132.23,24.59,Credit Card
ORD-100141,2023-06-06 08:00:00,CUST-1316,Customer 503,18,Female,East,Consumer,Office Supplies,Stapler,4,12.37,0.0,49.48,8.82,Credit Card
ORD-100142,2023-07-21 16:00:00,CUST-1720,Customer 38,45,Female,Central,Consumer,Furniture,Bookshelf,1,86.7,0.05,82.36,24.46,Net Banking
ORD-100143,2023-10-26 15:00:00,CUST-1080,Customer 457,19,Male,East,Consumer,Home & Kitchen,Storage Box,2,15.18,0.1,27.32,6.46,Credit Card
ORD-100144,2024-12-25 16:00:00,CUST-1291,Customer 14,67,Male,South,Home Office,Furniture,Bookshelf,4,89.58,0.0,358.32,87.46,Credit Card
ORD-100145,2024-09-14 17:00:00,CUST-1361,Customer 378,25,Female,West,Corporate,Clothing,Jeans,5,52.34,0.1,235.53,45.04,UPI
ORD-100146,2023-01-26 14:00:00,CUST-1527,Customer 446,27,Male,Central,Home Office,Home & Kitchen,Coffee Maker,6,62.82,0.05,358.07,48.14,Net Banking
ORD-100147,2023-06-20 18:00:00,CUST-1528,Customer 880,23,Other,South,Corporate,Office Supplies,Binder,6,5.78,0.05,32.95,6.7,Credit Card
ORD-100148,2024-08-22 12:00:00,CUST-1042,Customer 174,29,Male,West,Corporate,Home & Kitchen,Cookware Set,6,110.08,0.0,660.48,225.76,UPI
ORD-100149,2023-02-12 15:00:00,CUST-1641,Customer 219,43,Male,West,Consumer,Electronics,Laptop,5,849.57,0.15,3610.67,572.41,Credit Card
ORD-100150,2024-09-16 10:00:00,CUST-1115,Customer 521,50,Female,West,Consumer,Office Supplies,Printer Paper,1,16.14,0.05,15.33,2.35,Credit Card
ORD-100151,2023-07-25 16:00:00,CUST-1750,Customer 140,64,Female,Central,Home Office,Electronics,Smartwatch,4,212.09,0.0,848.36,97.83,Net Banking
ORD-100152,2024-10-31 11:00:00,CUST-1327,Customer 53,63,Male,Central,Consumer,Office Supplies,Pen Set,6,7.09,0.15,36.16,7.59,UPI
ORD-100153,2023-08-03 17:00:00,CUST-1413,Customer 443,22,Female,South,Home Office,Electronics,Headphones,6,86.63,0.1,467.8,73.87,UPI
ORD-100154,2023-11-14 18:00:00,CUST-1312,Customer 216,40,Male,East,Consumer,Electronics,Headphones,6,75.5,0.1,407.7,108.25,Credit Card
ORD-100155,2024-04-28 19:00:00,CUST-1298,Customer 610,63,Male,West,Corporate,Electronics,Laptop,1,862.98,0.1,776.68,90.47,UPI
ORD-100156,2023-04-03 20:00:00,CUST-1360,Customer 84,26,Female,West,Corporate,Furniture,Office Chair,4,128.8,0.0,515.2,75.62,Credit Card
ORD-100157,2024-02-11 09:00:00,CUST-1225,Customer 20,52,Female,East,Consumer,Office Supplies,Printer Paper,5,19.9,0.1,89.55,8.66,Credit Card
ORD-100158,2024-01-04 09:00:00,CUST-1723,Customer 200,40,Female,Central,Consumer,Furniture,Sofa,2,567.31,0.0,1134.62,103.47,UPI
ORD-100159,2024-07-26 20:00:00,CUST-1485,Customer 771,26,Female,West,Home Office,Furniture,Sofa,3,445.25,0.15,1135.39,340.41,UPI
ORD-100160,2024-12-28 12:00:00,CUST-1362,Customer 497,21,Female,East,Consumer,Home & Kitchen,Coffee Maker,1,82.85,0.0,82.85,26.89,UPI
ORD-100161,2024-04-29 08:00:00,CUST-1554,Customer 255,33,Male,Central,Consumer,Home & Kitchen,Cookware Set,2,115.66,0.0,231.32,66.22,Credit Card
ORD-100162,2023-10-26 11:00:00,CUST-1046,Customer 537,18,Female,West,Corporate,Electronics,Tablet,1,355.38,0.0,355.38,111.45,Cash
ORD-100163,2023-10-24 18:00:00,CUST-1505,Customer 581,28,Male,Central,Corporate,Furniture,Desk,7,241.02,0.1,1518.43,156.98,Net Banking
ORD-100164,2023-11-02 12:00:00,CUST-1135,Customer 398,46,Female,East,Home Office,Office Supplies,Printer Paper,7,16.56,0.05,110.12,35.51,Net Banking
ORD-100165,2024-08-17 08:00:00,CUST-1156,Customer 156,59,Female,East,Consumer,Clothing,T-Shirt,3,18.1,0.1,48.87,10.06,Credit Card
ORD-100166,2023-08-23 17:00:00,CUST-1526,Customer 333,44,Female,East,Consumer,Furniture,Office Chair,1,122.32,0.0,122.32,35.17,Credit Card
ORD-100167,2023-05-02 10:00:00,CUST-1356,Customer 784,55,Male,West,Consumer,Clothing,Hoodie,3,43.76,0.0,131.28,32.33,UPI
ORD-100168,2023-09-02 12:00:00,CUST-1141,Customer 631,21,Male,Central,Home Office,Electronics,Laptop,4,846.44,0.05,3216.47,561.16,UPI
ORD-100169,2023-01-17 08:00:00,CUST-1059,Customer 323,33,Male,Central,Home Office,Furniture,Sofa,2,557.8,0.0,1115.6,169.01,Net Banking
ORD-100170,2023-03-19 15:00:00,CUST-1487,Customer 808,52,Female,East,Corporate,Clothing,Jacket,5,70.94,0.05,336.96,37.7,Credit Card
ORD-100171,2023-03-07 13:00:00,CUST-1416,Customer 169,20,Male,Central,Consumer,Office Supplies,Binder,7,7.04,0.2,39.42,7.55,UPI
