InvoiceNo,InvoiceDate,CustomerID,Country,StockCode,Description,Quantity,UnitPrice
INV-0008-006,2025-07-18,C0008,India,SKU-755,Phone Case,5,18.79
INV-0008-007,2025-09-26,C0008,India,SKU-995,LED Bulb,1,67.42
INV-0008-008,2025-10-08,C0008,USA,SKU-537,Water Bottle,5,12.4
INV-0008-009,2025-05-24,C0008,USA,SKU-172,Notebook Pack,4,26.02
INV-0009-001,2025-08-21,C0009,India,SKU-309,Cotton T-Shirt,4,3.52
INV-0009-002,2025-05-28,C0009,India,SKU-694,Cotton T-Shirt,2,5.75
INV-0009-003,2025-10-15,C0009,USA,SKU-236,Water Bottle,4,2.43
INV-0009-004,2025-04-22,C0009,United Kingdom,SKU-807,Wireless Mouse,4,3.04
INV-0009-005,2025-04-23,C0009,India,SKU-440,Wireless Mouse,5,1.43
INV-0010-001,2025-08-17,C0010,India,SKU-563,Backpack,1,21.94
INV-0010-002,2025-05-04,C0010,India,SKU-484,Backpack,5,3.83
INV-0010-003,2025-06-24,C0010,United Kingdom,SKU-264,Yoga Mat,3,4.8
INV-0011-001,2025-01-26,C0011,India,SKU-689,Desk Organizer,1,41.08
INV-0011-002,2025-01-03,C0011,India,SKU-210,Yoga Mat,1,22.75
INV-0011-003,2025-02-21,C0011,India,SKU-392,Notebook Pack,5,8.24
INV-0011-004,2025-03-03,C0011,India,SKU-882,Backpack,3,7.67
INV-0011-005,2025-06-03,C0011,United Kingdom,SKU-946,Coffee Beans 500g,3,4.11
INV-0012-001,2025-11-08,C0012,India,SKU-395,Phone Case,4,30.45
INV-0012-002,2025-02-20,C0012,Germany,SKU-961,Water Bottle,3,34.38
INV-0012-003,2025-09-28,C0012,India,SKU-973,Wireless Mouse,2,46.53
INV-0012-004,2025-06-08,C0012,United Kingdom,SKU-147,LED Bulb,2,34.57
INV-0012-005,2025-10-05,C0012,USA,SKU-828,Yoga Mat,2,63.54
INV-0012-006,2025-08-07,C0012,India,SKU-844,Coffee Beans 500g,2,30.46
INV-0012-007,2025-04-04,C0012,India,SKU-643,Phone Case,5,15.9
INV-0012-008,2025-03-22,C0012,India,SKU-318,Water Bottle,4,33.17
INV-0013-001,2025-07-04,C0013,India,SKU-870,LED Bulb,3,29.15
INV-0013-002,2025-03-04,C0013,India,SKU-100,Desk Organizer,4,44.41
INV-0013-003,2024-12-05,C0013,India,SKU-861,Wireless Mouse,5,47.11
INV-0013-004,2025-03-12,C0013,USA,SKU-783,Coffee Beans 500g,4,23.78
INV-0013-005,2025-04-06,C0013,India,SKU-365,Wireless Mouse,1,215.36
INV-0013-006,2024-10-25,C0013,India,SKU-228,Notebook Pack,5,16.01
INV-0013-007,2024-10-22,C0013,India,SKU-723,Phone Case,1,69.05
INV-0014-001,2025-04-10,C0014,India,SKU-273,Backpack,4,12.05
INV-0014-002,2025-09-07,C0014,India,SKU-938,Yoga Mat,4,10.54
INV-0014-003,2025-06-15,C0014,USA,SKU-168,Wireless Mouse,2,24.21
INV-0014-004,2025-08-03,C0014,India,SKU-872,Yoga Mat,2,27.08
INV-0014-005,2025-06-24,C0014,Germany,SKU-941,LED Bulb,2,18.43
INV-0014-006,2025-01-26,C0014,India,SKU-966,Wireless Mouse,3,15.02
INV-0015-001,2025-09-12,C0015,India,SKU-867,Coffee Beans 500g,3,13.44
INV-0016-001,2025-06-19,C0016,India,SKU-435,Backpack,1,37.85
INV-0016-002,2025-02-09,C0016,India,SKU-571,Wireless Mouse,1,17.99
INV-0016-003,2025-05-04,C0016,Germany,SKU-611,Desk Organizer,2,31.21
INV-0016-004,2025-04-22,C0016,USA,SKU-289,Coffee Beans 500g,5,6.89
INV-0016-005,2025-07-02,C0016,Germany,SKU-676,Notebook Pack,3,7.11
INV-0017-001,2025-10-30,C0017,USA,SKU-398,Yoga Mat,3,49.15
INV-0017-002,2025-06-19,C0017,Germany,SKU-512,Phone Case,3,42.45
INV-0017-003,2025-11-18,C0017,United Kingdom,SKU-527,Backpack,2,71.74
INV-0017-004,2025-09-05,C0017,United Kingdom,SKU-842,Yoga Mat,2,61.78
INV-0017-005,2025-07-29,C0017,India,SKU-878,Coffee Beans 500g,1,180.81
INV-0017-006,2025-03-10,C0017,India,SKU-735,Backpack,4,19.5
INV-0017-007,2025-03-22,C0017,India,SKU-975,Wireless Mouse,4,46.92
INV-0017-008,2025-08-09,C0017,India,SKU-172,Backpack,2,27.24
INV-0017-009,2025-11-27,C0017,United Kingdom,SKU-180,Wireless Mouse,2,78.09
INV-0017-010,2025-11-20,C0017,India,SKU-430,Phone Case,2,70.6
INV-0017-011,2025-08-10,C0017,India,SKU-843,Yoga Mat,4,24.66
INV-0018-001,2024-12-18,C0018,Germany,SKU-447,Yoga Mat,4,30.22
INV-0018-002,2025-05-29,C0018,India,SKU-858,Phone Case,3,40.93
INV-0018-003,2025-04-03,C0018,Germany,SKU-425,Desk Organizer,4,27.48
INV-0018-004,2025-05-06,C0018,India,SKU-392,Backpack,1,59.54
INV-0018-005,2024-12-29,C0018,India,SKU-803,Backpack,2,75.76
INV-0019-001,2024-11-06,C0019,India,SKU-437,Cotton T-Shirt,2,95.01
INV-0019-002,2025-01-11,C0019,India,SKU-434,LED Bulb,2,65.79
INV-0019-003,2025-02-18,C0019,USA,SKU-513,Phone Case,5,33.52
INV-0019-004,2024-07-14,C0019,USA,SKU-298,Cotton T-Shirt,3,51.91
INV-0019-005,2024-10-04,C0019,India,SKU-352,Wireless Mouse,2,110.09
INV-0019-006,2024-07-14,C0019,India,SKU-555,Notebook Pack,2,37.88
INV-0019-007,2024-08-19,C0019,India,SKU-424,Cotton T-Shirt,5,47.67
INV-0020-001,2025-07-03,C0020,India,SKU-602,Phone Case,3,6.52
INV-0020-002,2025-06-24,C0020,India,SKU-226,Wireless Mouse,3,17.61
INV-0020-003,2025-07-17,C0020,India,SKU-441,Notebook Pack,5,9.81
INV-0020-004,2024-12-31,C0020,USA,SKU-633,Coffee Beans 500g,3,7.23
INV-0021-001,2025-10-04,C0021,India,SKU-277,LED Bulb,5,81.88
INV-0021-002,2025-08-02,C0021,India,SKU-917,Wireless Mouse,1,225.38
INV-0021-003,2025-08-02,C0021,India,SKU-586,Phone Case,2,235.05
INV-0021-004,2025-12-02,C0021,India,SKU-754,Cotton T-Shirt,2,192.19
INV-0021-005,2025-11-27,C0021,Germany,SKU-741,Backpack,5,71.25
INV-0021-006,2025-02-17,C0021,United Kingdom,SKU-514,Phone Case,2,259.84
INV-0021-007,2025-08-10,C0021,India,SKU-290,Notebook Pack,5,64.4
INV-0021-008,2025-06-01,C0021,India,SKU-285,Desk Organizer,5,105.96
INV-0021-009,2025-09-22,C0021,India,SKU-838,Wireless Mouse,1,520.68
INV-0021-010,2025-12-13,C0021,India,SKU-952,LED Bulb,4,106.76
INV-0021-011,2025-09-28,C0021,India,SKU-979,Phone Case,4,53.77
INV-0021-012,2025-08-11,C0021,India,SKU-922,LED Bulb,4,101.15
INV-0021-013,2025-11-21,C0021,United Kingdom,SKU-876,Notebook Pack,1,280.64
INV-0021-014,2025-05-16,C0021,India,SKU-807,Coffee Beans 500g,5,110.82
INV-0021-015,2025-12-08,C0021,Germany,SKU-549,Coffee Beans 500g,2,166.04
INV-0022-001,2025-04-13,C0022,USA,SKU-480,Phone Case,4,42.25
INV-0022-002,2025-07-12,C0022,United Kingdom,SKU-437,Coffee Beans 500g,1,160.75
INV-0022-003,2025-03-18,C0022,India,SKU-613,Backpack,5,34.23
INV-0022-004,2025-05-15,C0022,United Kingdom,SKU-293,Yoga Mat,4,50.29
INV-0022-005,2025-08-06,C0022,United Kingdom,SKU-653,Water Bottle,2,59.91
INV-0022-006,2025-03-13,C0022,United Kingdom,SKU-857,Coffee Beans 500g,5,13.22
INV-0023-001,2025-09-18,C0023,United Kingdom,SKU-171,Coffee Beans 500g,3,29.95
INV-0023-002,2025-03-26,C0023,India,SKU-768,Coffee Beans 500g,4,18.15
INV-0024-001,2025-03-22,C0024,India,SKU-734,Coffee Beans 500g,3,4.94
INV-0024-002,2025-02-02,C0024,United Kingdom,SKU-655,Wireless Mouse,2,8.57
INV-0025-001,2024-08-02,C0025,India,SKU-678,Wireless Mouse,2,94.32
INV-0025-002,2025-01-08,C0025,Germany,SKU-949,Cotton T-Shirt,3,72.21
INV-0025-003,2025-03-08,C0025,India,SKU-712,Water Bottle,3,91.4
INV-0025-004,2024-10-14,C0025,USA,SKU-397,Wireless Mouse,4,64.51
INV-0025-005,2024-09-16,C0025,United Kingdom,SKU-689,Phone Case,4,24.8
INV-0026-001,2025-10-03,C0026,India,SKU-450,Wireless Mouse,1,27.57
INV-0027-001,2025-08-17,C0027,United Kingdom,SKU-688,Desk Organizer,4,6.11
INV-0027-002,2025-06-13,C0027,Germany,SKU-175,Coffee Beans 500g,1,38.39
INV-0027-003,2024-12-13,C0027,India,SKU-411,Phone Case,1,41.7
INV-0027-004,2025-07-09,C0027,United Kingdom,SKU-951,Backpack,1,15.3
INV-0028-001,2025-08-05,C0028,India,SKU-230,LED Bulb,1,31.33
INV-0029-001,2025-02-26,C0029,India,SKU-970,Phone Case,3,7.32
INV-0029-002,2025-04-04,C0029,United Kingdom,SKU-737,LED Bulb,4,13.65
INV-0029-003,2025-01-04,C0029,Germany,SKU-101,Coffee Beans 500g,4,7.19
INV-0029-004,2025-04-10,C0029,India,SKU-839,Phone Case,3,18.62
INV-0029-005,2025-05-26,C0029,United Kingdom,SKU-448,Backpack,1,28.24
INV-0030-001,2025-03-01,C0030,United Kingdom,SKU-496,Phone Case,4,43.82
INV-0030-002,2025-04-30,C0030,USA,SKU-971,Desk Organizer,3,52.35
INV-0030-003,2025-08-28,C0030,USA,SKU-680,LED Bulb,5,22.13
INV-0030-004,2025-03-09,C0030,USA,SKU-336,LED Bulb,1,128.06
INV-0030-005,2025-06-30,C0030,Germany,SKU-964,Cotton T-Shirt,3,57.54
INV-0030-006,2025-11-04,C0030,India,SKU-266,Water Bottle,2,101.33
INV-0031-001,2024-10-09,C0031,India,SKU-523,Yoga Mat,4,33.03
INV-0031-002,2024-10-16,C0031,India,SKU-821,LED Bulb,4,24.75
INV-0031-003,2024-10-06,C0031,USA,SKU-992,LED Bulb,4,59.81
INV-0031-004,2025-03-30,C0031,United Kingdom,SKU-498,Backpack,4,46.58
INV-0031-005,2025-03-28,C0031,India,SKU-785,Yoga Mat,1,191.35
INV-0031-006,2025-02-11,C0031,USA,SKU-444,LED Bulb,4,32.66
INV-0031-007,2025-02-04,C0031,USA,SKU-981,Cotton T-Shirt,5,50.14
INV-0031-008,2024-09-16,C0031,USA,SKU-113,Yoga Mat,5,49.29
INV-0031-009,2025-05-25,C0031,India,SKU-130,Phone Case,5,41.11
INV-0032-001,2025-08-13,C0032,USA,SKU-760,Water Bottle,4,33.74
INV-0032-002,2025-04-20,C0032,Germany,SKU-349,Yoga Mat,1,130.91
INV-0032-003,2025-09-09,C0032,India,SKU-616,Desk Organizer,1,155.37
INV-0032-004,2025-04-14,C0032,USA,SKU-653,Water Bottle,2,71.02
INV-0032-005,2025-04-16,C0032,Germany,SKU-120,Water Bottle,2,27.72
INV-0032-006,2025-07-31,C0032,India,SKU-561,Desk Organizer,5,26.8
INV-0032-007,2025-09-18,C0032,India,SKU-538,Phone Case,1,91.0
INV-0033-001,2025-08-06,C0033,Germany,SKU-234,Phone Case,5,3.8
INV-0033-002,2025-02-27,C0033,India,SKU-261,LED Bulb,1,40.8
INV-0034-001,2025-04-17,C0034,United Kingdom,SKU-336,Backpack,3,5.72
INV-0034-002,2025-10-02,C0034,India,SKU-915,LED Bulb,2,9.77
INV-0035-001,2025-03-19,C0035,India,SKU-966,Wireless Mouse,2,21.75
INV-0035-002,2025-07-15,C0035,USA,SKU-768,Yoga Mat,3,13.55
INV-0036-001,2024-12-27,C0036,Germany,SKU-642,Yoga Mat,2,79.43
INV-0036-002,2025-05-15,C0036,USA,SKU-194,Coffee Beans 500g,5,55.56
INV-0036-003,2025-03-10,C0036,India,SKU-619,Yoga Mat,3,57.29
INV-0036-004,2024-12-12,C0036,India,SKU-584,Water Bottle,2,55.12
INV-0036-005,2024-12-23,C0036,United Kingdom,SKU-837,Cotton T-Shirt,3,26.43
INV-0036-006,2025-04-08,C0036,USA,SKU-952,Wireless Mouse,1,146.14
INV-0036-007,2024-09-28,C0036,USA,SKU-506,Coffee Beans 500g,2,61.42
INV-0037-001,2025-11-22,C0037,India,SKU-876,LED Bulb,2,36.43
INV-0037-002,2025-04-24,C0037,India,SKU-886,Backpack,2,15.3
INV-0038-001,2025-09-02,C0038,India,SKU-953,Cotton T-Shirt,3,12.82
INV-0038-002,2025-08-12,C0038,USA,SKU-781,Coffee Beans 500g,1,44.07
INV-0038-003,2025-07-17,C0038,India,SKU-437,Wireless Mouse,4,8.83
INV-0039-001,2025-03-13,C0039,United Kingdom,SKU-616,Coffee Beans 500g,3,10.22
INV-0040-001,2025-03-23,C0040,India,SKU-873,Notebook Pack,1,12.94
INV-0040-002,2025-05-02,C0040,United Kingdom,SKU-811,Water Bottle,1,30.58
INV-0041-001,2024-09-16,C0041,India,SKU-242,Cotton T-Shirt,3,51.43
INV-0041-002,2025-01-24,C0041,India,SKU-745,Wireless Mouse,4,33.4
INV-0041-003,2025-03-09,C0041,India,SKU-599,Wireless Mouse,2,123.26
INV-0041-004,2025-06-19,C0041,Germany,SKU-629,Cotton T-Shirt,5,52.97
INV-0041-005,2025-01-09,C0041,India,SKU-328,Yoga Mat,4,37.1
INV-0041-006,2024-10-26,C0041,India,SKU-927,Cotton T-Shirt,1,200.66
INV-0042-001,2025-10-05,C0042,India,SKU-156,Wireless Mouse,4,13.84
INV-0042-002,2025-09-03,C0042,Germany,SKU-973,Phone Case,2,47.19
INV-0043-001,2025-03-14,C0043,India,SKU-918,Water Bottle,3,83.14
INV-0043-002,2024-10-04,C0043,India,SKU-400,Cotton T-Shirt,3,64.92
INV-0043-003,2024-12-14,C0043,United Kingdom,SKU-811,Phone Case,2,147.82
INV-0043-004,2024-11-14,C0043,United Kingdom,SKU-524,Backpack,1,93.22
INV-0044-001,2025-06-11,C0044,India,SKU-255,Backpack,3,57.72
INV-0044-002,2025-06-23,C0044,India,SKU-938,Desk Organizer,4,18.08
INV-0044-003,2025-07-02,C0044,USA,SKU-479,Wireless Mouse,5,27.61
INV-0044-004,2024-12-25,C0044,India,SKU-381,Desk Organizer,2,30.38
INV-0044-005,2025-04-02,C0044,India,SKU-379,LED Bulb,5,25.28
INV-0044-006,2024-10-24,C0044,United Kingdom,SKU-982,Desk Organizer,4,20.09
INV-0045-001,2024-11-17,C0045,United Kingdom,SKU-578,Wireless Mouse,5,52.09
INV-0045-002,2024-07-09,C0045,India,SKU-932,Backpack,2,124.08
INV-0045-003,2024-06-07,C0045,India,SKU-132,Yoga Mat,1,201.14
INV-0045-004,2024-07-17,C0045,India,SKU-269,Phone Case,4,41.63
INV-0046-001,2025-06-09,C0046,India,SKU-678,Cotton T-Shirt,5,14.33
INV-0046-002,2025-04-18,C0046,India,SKU-977,Wireless Mouse,4,19.02
INV-0046-003,2025-10-18,C0046,USA,SKU-646,Water Bottle,1,115.89
INV-0046-004,2025-08-12,C0046,India,SKU-467,Yoga Mat,3,26.18
INV-0046-005,2025-09-17,C0046,Germany,SKU-611,Yoga Mat,5,27.54
INV-0046-006,2025-05-10,C0046,India,SKU-646,Coffee Beans 500g,1,140.24
INV-0046-007,2025-08-28,C0046,India,SKU-804,Desk Organizer,5,18.37
INV-0047-001,2025-10-13,C0047,India,SKU-955,Yoga Mat,2,13.17
INV-0047-002,2025-08-28,C0047,USA,SKU-276,Cotton T-Shirt,2,15.14
INV-0047-003,2025-10-29,C0047,India,SKU-354,Yoga Mat,4,5.98
INV-0047-004,2025-11-14,C0047,Germany,SKU-497,Wireless Mouse,5,8.6
INV-0048-001,2024-08-08,C0048,India,SKU-140,Yoga Mat,3,47.92
INV-0048-002,2024-10-01,C0048,India,SKU-748,Water Bottle,4,33.92
INV-0048-003,2024-12-28,C0048,USA,SKU-175,Backpack,3,90.28
INV-0048-004,2025-04-30,C0048,United Kingdom,SKU-901,Cotton T-Shirt,2,115.36
INV-0048-005,2024-07-26,C0048,India,SKU-140,Notebook Pack,3,59.16
INV-0048-006,2025-04-02,C0048,USA,SKU-122,Yoga Mat,3,87.75
INV-0048-007,2025-02-05,C0048,United Kingdom,SKU-348,Coffee Beans 500g,5,20.06
INV-0048-008,2025-03-20,C0048,Germany,SKU-669,Notebook Pack,3,80.26
INV-0049-001,2025-10-31,C0049,India,SKU-214,Wireless Mouse,2,33.39
INV-0050-001,2025-02-10,C0050,USA,SKU-785,Notebook Pack,5,13.96
INV-0051-001,2025-03-22,C0051,USA,SKU-903,Cotton T-Shirt,2,140.28
INV-0051-002,2025-01-08,C0051,India,SKU-324,Desk Organizer,4,51.21
INV-0051-003,2025-02-12,C0051,India,SKU-285,Coffee Beans 500g,5,54.98
INV-0051-004,2024-06-23,C0051,India,SKU-269,Yoga Mat,2,43.38
INV-0051-005,2024-10-07,C0051,United Kingdom,SKU-730,Wireless Mouse,3,84.74
INV-0051-006,2024-10-17,C0051,India,SKU-911,Wireless Mouse,5,64.34
INV-0051-007,2025-02-22,C0051,Germany,SKU-179,Coffee Beans 500g,5,46.49
INV-0051-008,2024-08-01,C0051,United Kingdom,SKU-864,Coffee Beans 500g,4,52.97
INV-0052-001,2025-11-18,C0052,India,SKU-355,Wireless Mouse,5,5.17
INV-0053-001,2025-09-01,C0053,India,SKU-954,LED Bulb,4,32.32
INV-0053-002,2025-10-06,C0053,United Kingdom,SKU-531,Backpack,5,27.12
INV-0054-001,2025-05-13,C0054,India,SKU-463,Notebook Pack,2,91.55
INV-0054-002,2025-06-13,C0054,India,SKU-251,Water Bottle,2,76.06
INV-0054-003,2025-03-09,C0054,India,SKU-639,Wireless Mouse,5,23.77
INV-0054-004,2025-10-29,C0054,India,SKU-629,Phone Case,2,34.02
INV-0054-005,2025-08-21,C0054,United Kingdom,SKU-958,LED Bulb,1,169.6
INV-0054-006,2025-07-08,C0054,United Kingdom,SKU-905,Cotton T-Shirt,4,43.55
INV-0054-007,2025-02-12,C0054,India,SKU-816,Backpack,2,62.15
INV-0054-008,2025-02-20,C0054,Germany,SKU-662,Coffee Beans 500g,2,80.36
INV-0054-009,2025-10-23,C0054,USA,SKU-599,Yoga Mat,3,28.21
INV-0054-010,2025-09-09,C0054,United Kingdom,SKU-778,Desk Organizer,5,11.52
INV-0054-011,2025-06-24,C0054,USA,SKU-172,LED Bulb,3,59.26
INV-0054-012,2025-09-01,C0054,India,SKU-453,Coffee Beans 500g,1,86.21
INV-0054-013,2025-07-31,C0054,India,SKU-581,Coffee Beans 500g,4,24.24
INV-0055-001,2025-10-13,C0055,India,SKU-129,Phone Case,3,42.01
INV-0055-002,2025-05-21,C0055,Germany,SKU-235,Wireless Mouse,2,79.63
INV-0055-003,2025-11-13,C0055,Germany,SKU-443,Water Bottle,5,61.38
INV-0055-004,2025-07-01,C0055,India,SKU-555,LED Bulb,5,27.73
INV-0055-005,2025-12-04,C0055,India,SKU-996,Coffee Beans 500g,3,85.46
INV-0055-006,2025-06-30,C0055,India,SKU-389,Cotton T-Shirt,4,57.47
INV-0055-007,2025-02-11,C0055,India,SKU-319,Yoga Mat,5,56.64
INV-0055-008,2025-02-14,C0055,India,SKU-360,Phone Case,1,190.86
INV-0055-009,2025-07-14,C0055,United Kingdom,SKU-354,Notebook Pack,2,97.39
INV-0055-010,2025-04-11,C0055,Germany,SKU-104,LED Bulb,3,56.1
INV-0055-011,2025-03-01,C0055,India,SKU-821,Wireless Mouse,5,37.23
INV-0055-012,2025-08-05,C0055,USA,SKU-433,LED Bulb,5,50.17
INV-0055-013,2025-12-12,C0055,India,SKU-181,Phone Case,1,184.39
INV-0055-014,2025-11-22,C0055,United Kingdom,SKU-872,Coffee Beans 500g,4,54.69
INV-0055-015,2025-10-19,C0055,India,SKU-935,Coffee Beans 500g,3,46.09
INV-0055-016,2025-11-04,C0055,India,SKU-373,LED Bulb,2,154.88
INV-0055-017,2025-10-09,C0055,United Kingdom,SKU-253,LED Bulb,4,55.33
INV-0055-018,2025-10-04,C0055,India,SKU-450,Desk Organizer,5,17.45
INV-0055-019,2025-02-22,C0055,India,SKU-746,LED Bulb,2,66.32
INV-0055-020,2025-11-17,C0055,India,SKU-551,Cotton T-Shirt,5,25.04
INV-0055-021,2025-04-09,C0055,India,SKU-536,Notebook Pack,5,17.18
INV-0055-022,2025-11-13,C0055,India,SKU-246,Desk Organizer,1,246.49
INV-0055-023,2025-05-02,C0055,India,SKU-246,Cotton T-Shirt,1,234.76
INV-0056-001,2025-05-11,C0056,USA,SKU-873,Desk Organizer,3,10.43
INV-0056-002,2025-01-10,C0056,India,SKU-898,Desk Organizer,3,11.54
INV-0056-003,2025-05-24,C0056,India,SKU-373,Desk Organizer,2,18.16
INV-0056-004,2025-05-14,C0056,India,SKU-654,Phone Case,4,6.78
INV-0056-005,2024-11-11,C0056,India,SKU-645,Backpack,1,35.83
INV-0056-006,2024-11-22,C0056,India,SKU-777,Wireless Mouse,5,7.54
INV-0057-001,2025-10-19,C0057,Germany,SKU-423,Backpack,4,30.81
INV-0058-001,2025-03-23,C0058,India,SKU-961,Notebook Pack,4,63.94
INV-0058-002,2025-06-16,C0058,United Kingdom,SKU-275,Cotton T-Shirt,4,49.08
INV-0058-003,2025-05-18,C0058,India,SKU-940,LED Bulb,3,82.73
INV-0058-004,2025-02-04,C0058,Germany,SKU-333,LED Bulb,3,99.08
INV-0058-005,2025-05-30,C0058,India,SKU-252,Yoga Mat,3,68.03
INV-0058-006,2025-05-16,C0058,India,SKU-761,Notebook Pack,2,67.98
INV-0058-007,2025-11-12,C0058,India,SKU-546,Coffee Beans 500g,5,28.75
INV-0058-008,2025-02-27,C0058,United Kingdom,SKU-320,Water Bottle,3,50.35
INV-0058-009,2025-08-18,C0058,United Kingdom,SKU-772,Notebook Pack,4,37.5
INV-0058-010,2025-04-17,C0058,USA,SKU-420,Water Bottle,4,71.16
INV-0058-011,2025-09-20,C0058,India,SKU-639,Cotton T-Shirt,3,90.14
INV-0058-012,2025-05-17,C0058,USA,SKU-777,Water Bottle,3,73.22
INV-0058-013,2025-05-10,C0058,United Kingdom,SKU-632,Wireless Mouse,5,48.92
INV-0058-014,2025-09-25,C0058,India,SKU-313,Water Bottle,1,111.83
INV-0058-015,2025-07-21,C0058,India,SKU-260,LED Bulb,4,57.09
INV-0058-016,2025-05-23,C0058,India,SKU-677,LED Bulb,4,37.87
INV-0058-017,2025-06-10,C0058,Germany,SKU-626,Wireless Mouse,1,216.15
INV-0058-018,2025-07-31,C0058,India,SKU-545,Yoga Mat,1,203.99
INV-0058-019,2025-08-14,C0058,India,SKU-272,Water Bottle,1,124.01
INV-0058-020,2025-03-27,C0058,India,SKU-957,Wireless Mouse,2,46.03
INV-0058-021,2025-10-03,C0058,USA,SKU-410,Water Bottle,1,189.34
INV-0059-001,2025-03-14,C0059,United Kingdom,SKU-960,Coffee Beans 500g,5,16.75
INV-0059-002,2025-03-15,C0059,India,SKU-347,Notebook Pack,4,21.67
INV-0060-001,2025-08-02,C0060,India,SKU-834,Water Bottle,3,30.7
INV-0060-002,2025-08-12,C0060,India,SKU-222,Wireless Mouse,2,121.07
INV-0060-003,2025-07-05,C0060,Germany,SKU-975,Coffee Beans 500g,2,67.95
INV-0060-004,2025-02-25,C0060,USA,SKU-782,Backpack,4,65.66
INV-0060-005,2025-03-25,C0060,India,SKU-641,Water Bottle,1,212.93
INV-0060-006,2025-10-07,C0060,India,SKU-579,LED Bulb,4,58.23
INV-0060-007,2025-03-11,C0060,India,SKU-219,Notebook Pack,5,22.22
INV-0060-008,2025-05-03,C0060,India,SKU-685,Backpack,5,33.43
INV-0060-009,2025-10-14,C0060,USA,SKU-994,Desk Organizer,1,238.69
INV-0061-001,2025-06-04,C0061,India,SKU-955,Backpack,1,121.39
INV-0061-002,2025-06-28,C0061,United Kingdom,SKU-657,Notebook Pack,3,19.62
INV-0061-003,2025-06-26,C0061,India,SKU-138,Desk Organizer,1,82.44
